resourceId,timeBucket,cpuAvgPct,cpuMaxPct,memoryAvgPct,memoryMaxPct,networkInBytes,networkOutBytes
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T00:00:00Z,1.1,6.1,11.1,16.1,6689,7450
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T01:00:00Z,3.58,8.58,13.58,18.58,3863,8490
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T02:00:00Z,3.93,8.93,13.93,18.93,9490,8537
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T03:00:00Z,1.95,6.95,11.95,16.95,1137,1193
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T04:00:00Z,3.02,8.02,13.02,18.02,7216,2650
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T05:00:00Z,1.98,6.98,11.98,16.98,5254,4066
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T06:00:00Z,2.65,7.65,12.65,17.65,4885,5413
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T07:00:00Z,34.43,39.43,44.43,49.43,6621,6995
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T08:00:00Z,28.68,33.68,38.68,43.68,7945,4449
/subscriptions/11111111-1111-1111-1111-111111111111/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/win-vm-00,2026-03-18T09:00:00Z,33.38,38.38,43.38,48.38,7099,6981
